MLA|ವಿದಾನ ಸಭಾ ಶಾಸಕರು
MP|ಲೋಕ ಸಭಾ ಸದಸ್ಯರು
Corporator|ನಗರ ಪಾಲಿಕೆಯ ಸದಸ್ಯರು
Ward|ವಾರ್ಡ್
Constituency |ಚುನಾವಣಾ ಕ್ಷೇತ್ರ
Report|ವರದಿ
Assamese|ಅಸ್ಸಾಮೀಸ್ 
Bengali|ಬೆಂಗಾಲಿ
Gujarati|ಗುಜರಾತಿ
Hindi|ಹಿಂದಿ
Kannada|ಕನ್ನಡ
Kashmiri|ಕಾಶ್ಮೀರಿ
Konkani|ಕೊಂಕಣಿ
Malayalam|ಮಲಯಾಳಂ
Manipuri|ಮಣಿಪುರಿ
Marathi|ಮರಾಠಿ
Nepali|ನೆಪಾಲಿ
Oriya|ಒಡಿಯ
Punjabi|ಪಂಜಾಬಿ
Tamil|ತಮಿಳು 
Telugu|ತೆಲುಗು
Urdu|ಉರ್ದು
Others|ಇತರ ಭಾಷೆಗಳು 
Upper Primary|ಹಿರಿಯ ಪ್ರಾಥಮಿಕ
Model Primary|ಮಾದರಿ ಪ್ರಾಥಮಿಕ 
Lower Primary|ಕಿರಿಯ ಪ್ರಾಥಮಿಕ 
Anganwadi|ಅಂಗನವಾಡಿಗಳಲ್ಲಿ
MLA Constituency|ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವರದಿ
MP Constituency|ಲೋಕ ಸಭಾ ಕ್ಷೇತ್ರದ ವರದಿ
With 3 classrooms or fewer |3 ಕ್ಕಿಂತ ಕಡಿಮೆ ಅಥವಾ 3 ತರಗತಿ  ಕೊಠಡಿಗಳಿರುವ ಶಾಲೆಗಳಿಗೆ
With more than 3 classrooms |3 ಕ್ಕಿಂತ ಹೆಚ್ಚು ತರಗತಿ  ಕೊಠಡಿಗಳಿರುವ ಶಾಲೆಗಳಿಗೆ
Basic Infrastructure|ಮೂಲಭೂತ ವ್ಯವಸ್ಥೆ
Learning Environment|ಕಲಿಕಾ ವಾತಾವರಣ 
Nutrition and Hygiene|ಪೋಷಣೆ ಮತ್ತು ನೈರ್ಮಲ್ಯ
Toilet Facilities|ಶೌಚಾಲಯಗಳು
Community Involvement|ಸಮುದಾಯ   ಭಾಗವಹಿಸುವಿಕೆ
Bangalore Avg|ಬೆಂಗಳೂರು ಸರಾಸರಿ
District Avg|ಜಿಲ್ಲಾ ಸರಾಸರಿ
